연번,시도,시군구,시군구,주소,기관명,대표전화,종별구분,설립구분,행정입원,폐쇄병상,개방병상,입원병상운영_야간공휴일,응급입원,낮병동운영,상급종합병원여부
171,서울,강서구,,공항대로 206,마인드케어의원,02-2602-7588,6. 의원,4. 개인,,,,,,,
172,서울,강서구,,강서로 43-17.,맑은샘정신건강의학과의원,02-6403-9139,6. 의원,4. 개인,,,,,,,
173,서울,강서구,,공항대로 426,백상정신건강의학과의원,02-2696-0913,6. 의원,4. 개인,,,,,,,
174,서울,강서구,,공항대로 284 동서빌딩,봄빛정신건강의학과의원,02-2063-3705,6. 의원,4. 개인,,,,,,,
175,서울,강서구,,공항대로 269-15,봄정신건강의학과의원,02-2135-2924,6. 의원,4. 개인,,,,,,,
176,서울,강서구,,공항대로 164 류마타워,삼성숲정신건강의학과의원,02-2088-3577,6. 의원,4. 개인,,,,,,,
177,서울,강서구,,마곡중앙5로 22,삼성슬립앤마인드의원,02-2135-2507,6. 의원,4. 개인,,,,,,,
178,서울,강서구,,강서로 385 우성에스비타워,서울송정신건강의학과,02-2658-7891,6. 의원,4. 개인,,,,,,,
179,서울,강서구,,마곡중앙5로 87,서울톡 정신건강의학과,02-2661-1231,6. 의원,4. 개인,,,,,,,
180,서울,강서구,,강서로 259,선정신건강의학과의원,02-3664-9119,6. 의원,4. 개인,,,,,,,
181,서울,강서구,,마곡중앙6로 66,심(心)정신건강의학과의원,02-6411-9088,6. 의원,4. 개인,,,,,,,
182,서울,강서구,,공항대로 168,"안녕,마음정신건강의학과의원",02-2038-9952,6. 의원,4. 개인,,,,,,,
183,서울,강서구,,마곡중앙5로 6,연세마곡숲정신건강의학과의원,02-2659-1610,6. 의원,4. 개인,,,,,,,
184,서울,강서구,,강서로 52 화곡환타지아,연세미소정신건강의학과의원,02-2694-9200,6. 의원,4. 개인,,,,,,,
185,서울,강서구,,강서로 360,연세소울정신건강의학과의원,02-2645-7502,6. 의원,4. 개인,,,,,,,
186,서울,강서구,,등촌로 5길 2,열린정신건강의학과,02-6346-0111,6. 의원,4. 개인,,,,,,,
187,서울,강서구,,강서로 43 도양라비앙타워,우리동네연세정신건강의학과의원,02-2696-2538,6. 의원,4. 개인,,,,,,,
188,서울,강서구,,양천로 492,은초록샘정신건강의학과,02-2063-3618,6. 의원,4. 개인,,,,,,,
189,서울,강서구,,강서로 251,이지정신건강의학과의원,02-6959-1175,6. 의원,4. 개인,,,,,,,
190,서울,강서구,,공항대로 260,이화의대부속서울병원,02-1522-7000,1. 종합병원,3. 법인,,,,,,,
191,서울,강서구,,강서로 161 대송빌딩,화곡정신건강의학과,02-2608-5558,6. 의원,4. 개인,,,,,,,
192,서울,강서구,,공항대로 525 비원빌딩,화인정신건강의학과,02-2668-0792,6. 의원,4. 개인,,,,,,,
193,서울,관악구,,시흥대로 552,가람신경정신과의원,02-859-8500,6. 의원,4. 개인,,,,,,,
194,서울,관악구,,신림로 340,강신경정신과의원,02-871-7121,6. 의원,4. 개인,,,,,,,
195,서울,관악구,,남부순환로 1832,나눔정신건강의학과의원,02-877-7105,6. 의원,4. 개인,,,,,,,
196,서울,관악구,,관악로 164,레몬정신건강의학과의원,02-887-7575,6. 의원,4. 개인,,,,,,,
197,서울,관악구,,장군봉1길 56,마나스정신건강의학과의원,02-6267-7788,6. 의원,4. 개인,,,,,,,
198,서울,관악구,,남부순환로 1715,마음가득정신건강의학과의원,02-876-1544,6. 의원,4. 개인,,,,,,,
199,서울,관악구,,신림로 350,마음챙김정신건강의학과의원,02-534-8856,6. 의원,4. 개인,,,,,,,
200,서울,관악구,,남부순환로 1942,맑음정신건강의학과의원,02-6052-0004,6. 의원,4. 개인,,,,,,,
201,서울,관악구,,남현길 7,박진억신경정신과의원,02-582-3344,6. 의원,4. 개인,,,,,,,
202,서울,관악구,,남부순환로 1905 태신빌딩,서울디딤정신건강의학과의원,02-872-0675,6. 의원,4. 개인,,,,,,,
203,서울,관악구,,관악로 168,서울탑정신건강의학과의원,02-883-2082,6. 의원,4. 개인,,,,,,,
204,서울,관악구,,관악로 203,성모새봄정신건강의학과의원,02-6951-3344,6. 의원,4. 개인,,,,,,,
205,서울,관악구,,관악로 165,소나무정신건강의학과,02-883-0567,6. 의원,4. 개인,,,,,,,
206,서울,관악구,,남부순환로 1603,신림정신건강의학과의원,02-889-7582,6. 의원,4. 개인,,,,,,,
207,서울,관악구,,남부순환로 1619-1,신림평온정신건강의학과의원,02-6925-5515,6. 의원,4. 개인,,,,,,,
208,서울,관악구,,신림로 315,안녕정신건강의학과의원,02-6204-0102,6. 의원,4. 개인,,,,,,,
209,서울,관악구,,남부순환로 1601-1,야호정신건강의학과의원,02-6013-8275,6. 의원,4. 개인,,,,,,,
210,서울,관악구,,남부순환로 1636,에이치플러스양지병원,1877-8875,1. 종합병원,4. 개인,,,,,,,
211,서울,관악구,,호암로 602,연세라온정신과의원,02-885-1857,6. 의원,4. 개인,,,,,,,
212,서울,관악구,,남부순환로 2056,연세필정신과의원,02-585-9110,6. 의원,4. 개인,,,,,,,
213,서울,관악구,,신림로 318,연세햇살정신건강의학과의원,02-877-5377,6. 의원,4. 개인,,,,,,,
214,서울,관악구,,관악로 195,연세훈정신건강의학과의원,02-888-9860,6. 의원,4. 개인,,,,,,,
215,서울,관악구,,남부순환로 1808,유정신경정신과의원,02-872-9278,6. 의원,4. 개인,,,,,,,
216,서울,관악구,,남부순환로 1838,한빛정신건강의학과의원,02-887-2158,6. 의원,4. 개인,,,,,,,
217,서울,관악구,,난곡로 268,한솔신경정신건강의학과의원,02-830-7588,6. 의원,4. 개인,,,,,,,
218,서울,광진구,,능동로 324,Dr고.신경정신과의원,02-446-1588,6. 의원,4. 개인,,,,,,,
219,서울,광진구,,아차산로 237 삼진빌딩,가온정신건강의학과 의원,02-464-6051,6. 의원,4. 개인,,,,,,,
220,서울,광진구,,능동로 120-1,건국대학교병원,02-1588-1533,1. 종합병원,3. 법인,,,,,,,O
221,서울,광진구,,아차산로 213 웅진빌딩,건대하늘정신건강의학과,02-463-1331,6. 의원,4. 개인,,,,,,,
222,서울,광진구,,자양로 95(도광빌딩,구의연세정신건강의학과의원,02-2201-5757,6. 의원,4. 개인,,,,,,O,
223,서울,광진구,,용마산로 127,국립정신건강센터,02-2204-0114,2. 정신병원,1. 국립,O,,,O,O,O,
224,서울,광진구,,아차산로 220,굿모닝정신과의원,02-466-3575,6. 의원,4. 개인,,,,,,,
225,서울,광진구,,아차산로431,김문엽정신건강의학과의원,02-3437-2132,6. 의원,4. 개인,,,,,,,
226,서울,광진구,,자양로 186-1,동서울정신건강의학과의원,02-446-1172,6. 의원,4. 개인,,,,,,,
227,서울,광진구,,능동로 385-1,동화정신건강의학과,02-466-5238,6. 의원,4. 개인,,,,,,,
228,서울,광진구,,능동로 390,문경서정신건강의학과,02-458-8811,6. 의원,4. 개인,,,,,,,
229,서울,광진구,,강변역로 4길 10 강변역 지너스타워,서울우리아이정신건강의학과의원,02-452-2100,6. 의원,4. 개인,,,,,,,
230,서울,광진구,,광나루로 604,성모라이프정신건강의학과,02-457-0550,6. 의원,4. 개인,,,,,,,
231,서울,광진구,,능동로 290,성모평온한마음의원,02-6237-9357,6. 의원,4. 개인,,,,,,,
232,서울,광진구,,능동로 117,아이두정신건강의학과,02-2038-3388,6. 의원,4. 개인,,,,,,,
233,서울,광진구,,능동로 259,열린마음정신건강의학과,02-3437-3441,6. 의원,4. 개인,,,,,,O,
234,서울,광진구,,자양로 109 현대홈시티,유지민정신건강의학과,02-452-2030,6. 의원,4. 개인,,,,,,,
235,서울,광진구,,광나루로 369 두산위브파크,잘듣는정신건강의학과,02-498-7582,6. 의원,4. 개인,,,,,,,
